[["1:1","Ἀποκάλυψις","N- ----NSF-","ἀποκάλυψις"],
["1:1","Ἰησοῦ","N- ----GSM-","Ἰησοῦς"],
["1:1","Χριστοῦ,","N- ----GSM-","Χριστός"],
["1:1","ἣν","RR ----ASF-","ὅς"],
["1:1","ἔδωκεν","V- 3AAI-S--","δίδωμι"],
["1:1","αὐτῷ","RP ----DSM-","αὐτός"],
["1:1","ὁ","RA ----NSM-","ὁ"],
["1:1","θεὸς","N- ----NSM-","θεός"],
["1:1","δεῖξαι","V- -AAN----","δείκνυμι"],
["1:1","τοῖς","RA ----DPM-","ὁ"],
["1:1","δούλοις","N- ----DPM-","δοῦλος"],
["1:1","αὐτοῦ,","RP ----GSM-","αὐτός"],
["1:1","ἃ","RR ----APN-","ὅς"],
["1:1","δεῖ","V- 3PAI-S--","δέω"],
["1:1","γενέσθαι","V- -AMN----","γίνομαι"],
["1:1","ἐν","P- --------","ἐν"],
["1:1","τάχει,","N- ----DSN-","τάχος"],
["1:1","καὶ","C- --------","καί"],
["1:1","ἐσήμανεν","V- 3AAI-S--","σημαίνω"],
["1:1","ἀποστείλας","V- -AAPNSM-","ἀποστέλλω"],
["1:1","διὰ","P- --------","διά"],
["1:1","τοῦ","RA ----GSM-","ὁ"],
["1:1","ἀγγέλου","N- ----GSM-","ἄγγελος"],
["1:1","αὐτοῦ","RP ----GSM-","αὐτός"],
["1:1","τῷ","RA ----DSM-","ὁ"],
["1:1","δούλῳ","N- ----DSM-","δοῦλος"],
["1:1","αὐτοῦ","RP ----GSM-","αὐτός"],
["1:1","Ἰωάννῃ,","N- ----DSM-","Ἰωάννης"],
["1:2","ὃς","RR ----NSM-","ὅς"],
["1:2","ἐμαρτύρησεν","V- 3AAI-S--","μαρτυρέω"],
["1:2","τὸν","RA ----ASM-","ὁ"],
["1:2","λόγον","N- ----ASM-","λόγος"],
["1:2","τοῦ","RA ----GSM-","ὁ"],
["1:2","θεοῦ","N- ----GSM-","θεός"],
["1:2","καὶ","C- --------","καί"],
["1:2","τὴν","RA ----ASF-","ὁ"],
["1:2","μαρτυρίαν","N- ----ASF-","μαρτυρία"],
["1:2","Ἰησοῦ","N- ----GSM-","Ἰησοῦς"],
["1:2","Χριστοῦ,","N- ----GSM-","Χριστός"],
["1:2","ὅσα","RR ----APN-","ὅσος"],
["1:2","εἶδεν.","V- 3AAI-S--","ὁράω"],
["1:3","μακάριος","A- ----NSM-","μακάριος"],
["1:3","ὁ","RA ----NSM-","ὁ"],
["1:3","ἀναγινώσκων","V- -PAPNSM-","ἀναγινώσκω"],
["1:3","καὶ","C- --------","καί"],
["1:3","οἱ","RA ----NPM-","ὁ"],
["1:3","ἀκούοντες","V- -PAPNPM-","ἀκούω"],
["1:3","τοὺς","RA ----APM-","ὁ"],
["1:3","λόγους","N- ----APM-","λόγος"],
["1:3","τῆς","RA ----GSF-","ὁ"],
["1:3","προφητείας","N- ----GSF-","προφητεία"],
["1:3","καὶ","C- --------","καί"],
["1:3","τηροῦντες","V- -PAPNPM-","τηρέω"],
["1:3","τὰ","RA ----APN-","ὁ"],
["1:3","ἐν","P- --------","ἐν"],
["1:3","αὐτῇ","RP ----DSF-","αὐτός"],
["1:3","γεγραμμένα,","V- -XPPAPN-","γράφω"],
["1:3","ὁ","RA ----NSM-","ὁ"],
["1:3","γὰρ","C- --------","γάρ"],
["1:3","καιρὸς","N- ----NSM-","καιρός"],
["1:3","ἐγγύς.","D- --------","ἐγγύς"],
["1:4","Ἰωάννης","N- ----NSM-","Ἰωάννης"],
["1:4","ταῖς","RA ----DPF-","ὁ"],
["1:4","ἑπτὰ","A- ----DPF-","ἑπτά"],
["1:4","ἐκκλησίαις","N- ----DPF-","ἐκκλησία"],
["1:4","ταῖς","RA ----DPF-","ὁ"],
["1:4","ἐν","P- --------","ἐν"],
["1:4","τῇ","RA ----DSF-","ὁ"],
["1:4","Ἀσίᾳ·","N- ----DSF-","Ἀσία"],
["1:4","χάρις","N- ----NSF-","χάρις"],
["1:4","ὑμῖν","RP ----DP--","σύ"],
["1:4","καὶ","C- --------","καί"],
["1:4","εἰρήνη","N- ----NSF-","εἰρήνη"],
["1:4","⸀ἀπὸ","P- --------","ἀπό"],
["1:4","ὁ","RA ----NSM-","ὁ"],
["1:4","ὢν","V- -PAPNSM-","εἰμί"],
["1:4","καὶ","C- --------","καί"],
["1:4","ὁ","RA ----NSM-","ὁ"],
["1:4","ἦν","V- 3IAI-S--","εἰμί"],
["1:4","καὶ","C- --------","καί"],
["1:4","ὁ","RA ----NSM-","ὁ"],
["1:4","ἐρχόμενος,","V- -PMPNSM-","ἔρχομαι"],
["1:4","καὶ","C- --------","καί"],
["1:4","ἀπὸ","P- --------","ἀπό"],
["1:4","τῶν","RA ----GPN-","ὁ"],
["1:4","ἑπτὰ","A- ----GPN-","ἑπτά"],
["1:4","πνευμάτων","N- ----GPN-","πνεῦμα"],
["1:4","ἃ","RR ----NPN-","ὅς"],
["1:4","ἐνώπιον","P- --------","ἐνώπιον"],
["1:4","τοῦ","RA ----GSM-","ὁ"],
["1:4","θρόνου","N- ----GSM-","θρόνος"],
["1:4","αὐτοῦ,","RP ----GSM-","αὐτός"],
["1:5","καὶ","C- --------","καί"],
["1:5","ἀπὸ","P- --------","ἀπό"],
["1:5","Ἰησοῦ","N- ----GSM-","Ἰησοῦς"],
["1:5","Χριστοῦ,","N- ----GSM-","Χριστός"],
["1:5","ὁ","RA ----NSM-","ὁ"],
["1:5","μάρτυς","N- ----NSM-","μάρτυς"],
["1:5","ὁ","RA ----NSM-","ὁ"],
["1:5","πιστός,","A- ----NSM-","πιστός"],
["1:5","ὁ","RA ----NSM-","ὁ"],
["1:5","πρωτότοκος","A- ----NSM-","πρωτότοκος"],
["1:5","τῶν","RA ----GPM-","ὁ"],
["1:5","νεκρῶν","A- ----GPM-","νεκρός"],
["1:5","καὶ","C- --------","καί"],
["1:5","ὁ","RA ----NSM-","ὁ"],
["1:5","ἄρχων","N- ----NSM-","ἄρχων"],
["1:5","τῶν","RA ----GPM-","ὁ"],
